Project_name,Species,Side_landmarked,Landmarker,Specimen_number,Clade,Skull_length_mm,Postrostral_skull_length_mm,Skull_width_mm,Skull_height_mm
Diomedea_exulans_NMS_Z.1921.143.1630,Diomedea_exulans,left,Ethan,NMS_Z.1921.143.1630,Aves,261,71.6,54.1,44.8
Jaculus_jaculus_NHMUK_unregistered_xy001,Jaculus_jaculus,right,Catherine,NHMUK_unregistered,Mammalia,33.3,19.6,25.9,15.3
Dobsonia_viridis_NHMUK_ZD_1990.134,Dobsonia_viridis,right,Catherine,NHMUK_ZD_1990.134,Mammalia,47.8,38.6,19.2,17.1
Dromiciops_australis_UMMZ_156354,Dromiciops_australis,right,Catherine,UMMZ_156354,Mammalia,27.3,18.6,12.3,9
Elseya_dentata_NHMUK76.5.19.77_left,Elseya_dentata,left,Serjoscha,NHMUK76.5.19.77,Testudinata,42.3,35.8,34.8,17.78
Emydoidea_blandingii_FMNH22144_left,Emydoidea_blandingii,left,Serjoscha,FMNH22144,Testudinata,40.25,35.5,26.25,10.15
Emydura_subglobosa_PIMUZ_2009.37_left,Emydura_subglobosa,left,Serjoscha,PIMUZ_2009.37,Testudinata,15.93,13.4,12.33,6.19
Emys_orbicularis_SMF1987_left,Emys_orbicularis,left,Serjoscha,SMF1987,Testudinata,28.45,23.5,19.94,8.62
Eretmochelys_imbricata_FMNH22242_left,Eretmochelys_imbricata,left,Serjoscha,FMNH22242,Testudinata,98.54,72.7,66.51,37.5
Euparkeria_capensis_SAM_PK_7696_left,Euparkeria_capensis,left,Serjoscha,SAM-PK-7696,Archosauriformes,105,55,NA,NA
Falco_subbuteo_NHMUK_S1974.16.1,Falco_subbuteo,left,Ethan,NHMUK_S/1974.16.1,Aves,49.33,36,24.3904,20.4219
Falco_tinnunculus_NMS_Unregistered,Falco_tinnunculus,left,Ethan,NMS_Unregistered,Aves,48.9,29.7,24.4,22.6
Felis_catus_sylvestris_UMZC_K6182,Felis_catus_sylvestris,right,Catherine,UMZC_K6182,Mammalia,99.1,77.9,46.3,37.5
Puma_concolor_UMZC_K5745,Puma_concolor,right,Catherine,UMZC_K5745,Mammalia,175.3,125.7,81,60.2
Fregata_magnificens_NMS_Z.2000.111.2,Fregata_magnificens,left,Ethan,NMS_Z.2000.111.2,Aves,177,44.7,34.6,28
Fulmaris_glacialis_NMS_Z.2003.181.2,Fulmaris_glacialis,left,Ethan,NMS_Z.2003.181.2,Aves,94.4,37,28.7,27.5
Gallus_gallus_NMS_Z1931.43,Gallus_gallus,left,Ethan,NMS_Z1931.43,Aves,74.521,38.14,25.0051,23.4067
Gavia_immer_NMS_Unregistered,Gavia_immer,left,Ethan,NMS_Unregistered,Aves,153,62.9,35.2,30.6
Gecko_verticillatus_OUMNH1467_left,Gecko_verticillatus,left,Serjoscha,OUMNH1467,Lepidosauria,48.2,34,33.6,8.3
Gelochelidon_nilotica_NMS_Unreg_cat_num_374,Gelochelidon_nilotica,left,Ethan,NMS_Unreg_cat._num._374,Aves,70.9,30.7,18.4,17.6
Genetta_genetta_UMZC_K4363,Genetta_genetta,right,Catherine,UMZC_K4363,Mammalia,82.8,60.3,28,27.3
Geoclemys_hamiltonii_NHMUK87.9.30.1_left,Geoclemys_hamiltonii,left,Serjoscha,NHMUK,Testudinata,38.53,33.6,34.76,15.48
Geoemyda_spengleri_FMNH260381_left,Geoemyda_spengleri,left,Serjoscha,FMNH260381,Testudinata,23.92,20.6,15.53,10.32
Glyptemys_insculpta_FMNH22240_left,Glyptemys_insculpta,left,Serjoscha,FMNH22240,Testudinata,41,33.6,33.96,14.48
Gopherus_agassizii_FMNH216746_left,Gopherus_agassizii,left,Serjoscha,FMNH216746,Testudinata,44.96,35.3,37.48,18.33
Gopherus_flavomarginatus_FMNH98916_left,Gopherus_flavomarginatus,left,Serjoscha,FMNH98916,Testudinata,50.19,39.3,39.55,16.9
Graptemys_geographica_NHMUK55.12.6.11_left,Graptemys_geographica,left,Serjoscha,NHMUK55.12.6.11,Testudinata,24.38,22.7,16.69,9
