Project_name,Species,Side_landmarked,Landmarker,Specimen_number,Clade,Skull_length_mm,Postrostral_skull_length_mm,Skull_width_mm,Skull_height_mm
Orlitia_borneensis_NHMUK1949.3.4.29_left,Orlitia_borneensis,left,Serjoscha,NHMUK1949.3.4.29,Testudinata,68.5,57.7,60.73,24.35
Pandion_haliaetus_NMS_Z.1995.35,Pandion_haliaetus,left,Ethan,NMS_Z.1995.35,Aves,70.7,42.1,36.8,31.9
Pangshura_tecta_NHMUK1889.2.6.1_left,Pangshura_tecta,left,Serjoscha,NHMUK1889.2.6.1,Testudinata,41.75,33.5,32.37,15.81
Papio_hamadryas_UMZC_E7543B,Papio_hamadryas,right,Catherine,UMZC_E7543B,Mammalia,166.7,90.1,81.4,65.7
Passer_domesticus_NMS_Unregistered,Passer_domesticus,left,Ethan,NMS_Unregistered,Aves,27274.9,16268,14292.8,11690.2
Pelagodroma_marina_NMS_Z.1898.30,Pelagodroma_marina,left,Ethan,NMS_Z.1898.30 (cat. no. 294),Aves,43.8,17.5,11.6,12.5
Peltocephalus_dumerilianus_SMF55470_left,Peltocephalus_dumerilianus,left,Serjoscha,SMF55470,Testudinata,67,58,46.93,23.29
Phaethon_lepturus_NHMUK_1884.2.29.10,Phaethon_lepturus,left,Ethan,NHMUK_1884.2.29.10,Aves,94.32,34.5014,21930.9,20.5527
Phalacrocorax_carbo_NMS_Z.2000.27.04,Phalacrocorax_carbo,left,Ethan,NMS_Z.2000.27.04,Aves,139.5,59.6,31.3,25.4
Phalacrocorax_harrisi_NHMUK_S1973.1.10,Phalacrocorax_harrisi,left,Ethan,NHMUK_S/1973.1.10,Aves,153.86,54.44,29.1614,24.7736
Phasianus_colchions_NMS_Z.1931.43,Phasianus_colchions,left,Ethan,NMS Z.1931.43,Aves,63.4,30.5,23.7,24.9
Phoenicopterus_ruber_NMS_Z.2000.193.1,Phoenicopterus_ruber,left,Ethan,NMS_Z.2000.193.1,Aves,166.3,49.1,32.7,31.4
Phrynops_hilarii_NHMUK91.3.16.1_left,Phrynops_hilarii,left,Serjoscha,NHMUK91.3.16.1,Testudinata,77.3,68.7,70.79,21.14
Dendrocopos_major_NMS_Z.1937.79,Dendrocopos_major,left,Ethan,NMS_Z.1937.79,Aves,42.1171,19.519,20.9335,15.6986
Platysternon_megacephalum_SMF69684_left,Platysternon_megacephalum,left,Serjoscha,SMF69684,Testudinata,60.26,47.1,57.95,29.85
Podargus_strigoides_NHMUK_S1969.4.41,Podargus_strigoides,left,Ethan,NHMUK_S/1969.4.41,Aves,79.73,34165.8,28944.6,20928.8
Podiceps_cristatus_NMS_Z.1990.74,Podiceps_cristatus,left,Ethan,NMS_Z.1990.74,Aves,101.7,37.8,20.2,20.3
Podocnemis_unifilis_NHMUK60.4.16.9_left,Podocnemis_unifilis,left,Serjoscha,NHMUK60.4.16.9,Testudinata,77.04,64,56.91,23.32
Podogymnura_truei_FMNH_146591,Podogymnura_truei,right,Catherine,FMNH_146591,Mammalia,39.4,22.8,15.7,10.7
