Count,Specimen_name,Species_ID,Replicates_total,Replicates_endosseous,Tree_names,Tree_node_number,Ear_type,Specimen_type,Suborder,Family,Subfamily,Plotting_group,Plotting_habitat,Habitual_habitat,Habitat_general,Fossil_marine,Forelimb,Forelimb1,Forelimb2,Forelimb3,Forelimb4,Forelimb5,Forelimb6,Skull_length_mm,Skull_width_mm,Skull_height_mm,logV_mm3,Carapax_neck_ratio,Neck_length_categorical,Retraction_type,Retratction_ability
99,Kinosternon_subrubrum_FMNH211711_left,Kinosternon_subrubrum,3,2,Kinosternon_subrubrum,93,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,30.69,21.06,11.65,3.8768,NA,long,vertical,full
100,Kinosternon_subrubrum_R10089_left_endosseous,Kinosternon_subrubrum,0,0,NA,93,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,22,15.1,8.3,3.4405,NA,long,vertical,full
101,Kinosternon_subrubrum_R10089_left_membranous,Kinosternon_subrubrum,0,0,NA,93,membranous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,22,15.1,8.3,3.4405,NA,long,vertical,full
102,Labrostochelys_galkini_AMNH30043_left,Labrostochelys_galkini,1,1,Labrostochelys_galkini,128,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Taphrospini,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,127.3,87.8,22.2,5.3947,NA,NA,sideways,full
103,Lapparentemys_vilavilensis_AMNH14444_left,Lapparentemys_vilavilensis,1,1,Lapparentemys_vilavilensis,134,endosseous,fossil,Pleurodira,Pelomedusoides,stem-Podocnemididae,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,74.6,62.7,32.4,5.1806,NA,NA,sideways,full
104,Latentemys_plowdeni_NHMUK11998_right,Latentemys_plowdeni,1,1,Latentemys_plowdeni,139,endosseous,fossil,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,85,74.1,28.1,5.2479,NA,NA,sideways,full
105,Lepidochelys_kempii_M009-08_left,Lepidochelys_kempii,1,1,Lepidochelys_kempii,81,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,67.88,58.01,31.91,5.0992,NA,short,vertical,incomplete
106,Lepidochelys_olivacea_SMNS11070_left,Lepidochelys_olivacea,1,1,Lepidochelys_olivacea,80,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,111.82,94.55,48.05,5.7059,34.14,short,vertical,incomplete
107,Lissemys_punctata_SMF74141_left,Lissemys_punctata,1,1,Lissemys_punctata,111,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Cyclanorbinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,51.42,29.48,13.48,4.3103,71.04,extreme,vertical,full
108,Macrochelys_temminckii_FMNH22111_left,Macrochelys_temminckii,1,1,Macrochelys_temminckii,86,endosseous,extant,Cryptodira,Chelydroidea,Chelydridae,Chelydridae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,102.46,98.67,32.91,5.5221,53.48,long,vertical,incomplete
109,Malaclemys_terrapin_SMF36419_left,Malaclemys_terrapin,1,1,Malaclemys_terrapin,66,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,46.59,34.72,15.81,4.4078,NA,NA,vertical,full
110,Malacochersus_tornieri_SMF58702_left,Malacochersus_tornieri,1,1,Malacochersus_tornieri,41,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,30.31,25.79,9.56,3.8735,39.03,intermediate,vertical,full
111,Malayemys_subtrijuga_NHMUK1920.1.20.2545_left,Malayemys_subtrijuga,1,1,Malayemys_subtrijuga,31,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,52.67,39.9,17.18,4.5576,NA,NA,vertical,full
112,Manouria_impressa_SMF69777_left,Manouria_impressa,1,1,Manouria_impressa,52,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,49.94,34.5,17.28,4.4738,NA,NA,vertical,full
113,Mauremys_leprosa_NHMUK_unnumbered_left,Mauremys_leprosa,1,1,Mauremys_leprosa,23,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,35.01,27.41,11.33,4.0363,60.35,long,vertical,full
114,Meiolania_platyceps_NHMUK682_right,Meiolania_platyceps,1,1,Meiolania_platyceps,10,endosseous,fossil,Stem,Meiolaniformes,Meiolaniidae,Perichelydia,terrestrial,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,155,194,82,6.3919,NA,NA,none,incomplete
115,Morenia_ocellata_NHMUK87.3.11.7_left,Morenia_ocellata,1,1,Morenia_ocellata,36,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,42.5,30.22,18.84,4.3838,NA,NA,vertical,full
116,Naomichelys_speciosa_FMNH273_right,Naomichelys_speciosa,1,1,Naomichelys_speciosa,5,endosseous,fossil,Stem,NA,NA,Perichelydia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,94.5,84.1,40.8,5.5109,NA,NA,none,incomplete
117,Natator_depressus_R112123_left,Natator_depressus,1,1,Natator_depressus,84,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,149.53,134.18,66.57,6.1257,NA,NA,vertical,incomplete
118,Nichollsemys_baieri_TMP97.99.1_right,Nichollsemys_baieri,1,1,Nichollsemys_baieri,73,endosseous,fossil,Cryptodira,Chelonioidea,NA,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,110,95.7,54.8,5.7611,29.13,short,vertical,incomplete
119,Notochelys_platynota_FMNH224048_left,Notochelys_platynota,1,1,Notochelys_platynota,29,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geomydinae,Geoemydidae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,55.12,40.34,18.57,4.6159,NA,NA,vertical,full
120,Ordosemys_sp_IVPPV12092_right,Ordosemys_sp,1,1,Ordosemys_sp,13,endosseous,fossil,Stem,Macrobaenidae/Sinemydidae,NA,Macrobaenidae/Sinemydidae,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,50.3,44.4,16.8,4.5743,24.82,short,none,incomplete
121,Orlitia_borneensis_NHMUK1949.3.4.29_left,Orlitia_borneensis,1,1,Orlitia_borneensis,32,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,68.5,60.73,24.35,5.0056,NA,NA,vertical,full
122,Pangshura_tecta_NHMUK1889.2.6.1_left,Pangshura_tecta,1,1,Pangshura_tecta,34,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,41.75,32.37,15.81,4.3297,NA,NA,vertical,full
123,Pelodiscus_sinensis_IW576-2_left,Pelodiscus_sinensis,1,1,Pelodiscus_sinensis,108,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,45.77,29.06,13.34,4.249,82.84,extreme,vertical,full
124,Pelomedusa_subrufa_SMF70504_left,Pelomedusa_subrufa,1,1,Pelomedusa_subrufa,120,endosseous,extant,Pleurodira,Pelomedusoides,Pelomedusidae,Pelomedusoides,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,38.53,35.19,13.82,4.2727,48.67,intermediate,sideways,full
125,Peltocephalus_dumerilianus_SMF55470_left,Peltocephalus_dumerilianus,1,1,Peltocephalus_dumerilianus,138,endosseous,extant,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,67,46.93,23.29,4.8647,NA,NA,sideways,incomplete
126,Pelusios_niger_SMNS4625_left_endosseous,Pelusios_niger,2,1,Pelusios_niger,121,endosseous,extant,Pleurodira,Pelomedusoides,Pelomedusidae,Pelomedusoides,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,21.8,18.6,8.6,3.5425,NA,NA,sideways,full
127,Pelusios_niger_SMNS4625_left_membranous,Pelusios_niger,0,0,NA,121,membranous,extant,Pleurodira,Pelomedusoides,Pelomedusidae,Pelomedusoides,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,21.8,18.6,8.6,3.5425,NA,NA,sideways,full
128,Petrochelys_kyrgyzensis_ZINPHTF67218_right,Petrochelys_kyrgyzensis,1,1,Petrochelys_kyrgyzensis,101,endosseous,fossil,Cryptodira,Trionychia,NA,Trionychia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vertical,full
129,Phosphatochelys_tedfordi_AMNH30008_left,Phosphatochelys_tedfordi,1,1,Phosphatochelys_tedfordi,130,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Taphrospini,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,67.7,62.7,31.4,5.1248,NA,NA,sideways,incomplete
130,Phrynops_geoffroanus_SMF45470_left,Phrynops_geoffroanus,1,1,Phrynops_geoffroanus,114,endosseous,extant,Pleurodira,Chelidae,Chelinae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,64.39,55.95,19.79,4.8531,46.88,intermediate,sideways,full
131,Phrynops_hilarii_NHMUK91.3.16.1_left,Phrynops_hilarii,1,1,Phrynops_hilarii,113,endosseous,extant,Pleurodira,Chelidae,Chelinae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,77.3,70.79,21.14,5.0633,NA,NA,sideways,full
132,Platemys_platycephala_SMNS_unnumbered_left_endosseous,Platemys_platycephala,2,1,Platemys_platycephala,115,endosseous,extant,Pleurodira,Chelidae,Chelinae,Chelidae,freshwater,open_water_swimming,freshwater,NA,small - 1,1,1,0,0,0,0,20.7,14.5,6.9,3.3162,NA,NA,sideways,full
133,Platemys_platycephala_SMNS_unnumbered_left_membranous,Platemys_platycephala,0,0,NA,115,membranous,extant,Pleurodira,Chelidae,Chelinae,Chelidae,freshwater,open_water_swimming,freshwater,NA,small - 1,1,1,0,0,0,0,20.7,14.5,6.9,3.3162,NA,NA,sideways,full
134,Platysternon_megacephalum_NCSM76497_left,Platysternon_megacephalum,4,3,NA,53,endosseous,extant,Cryptodira,Testudinoidea,Platysternidae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,36.32,31.5,14.47,4.2189,46.9,intermediate,vertical,incomplete
135,Platysternon_megacephalum_R12559_left_endosseous,Platysternon_megacephalum,0,0,NA,53,endosseous,extant,Cryptodira,Testudinoidea,Platysternidae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,33.5,28.9,14.4,4.1443,46.9,intermediate,vertical,incomplete
136,Platysternon_megacephalum_R12559_left_membranous,Platysternon_megacephalum,0,0,NA,53,membranous,extant,Cryptodira,Testudinoidea,Platysternidae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,33.5,28.9,14.4,4.1443,46.9,intermediate,vertical,incomplete
137,Platysternon_megacephalum_SMF69684_left,Platysternon_megacephalum,0,0,Platysternon_megacephalum,53,endosseous,extant,Cryptodira,Testudinoidea,Platysternidae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,60.26,57.95,29.85,5.018,46.9,intermediate,vertical,incomplete
138,Plesiochelys_bigleri_MJSNTCH007-252_left,Plesiochelys_bigleri,1,1,Plesiochelys_bigleri,17,endosseous,fossil,Stem,Angolachelonia,Plesiochelyidae,Angolachelonia,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,incomplete
139,Plesiochelys_etalloni_NMB435_left,Plesiochelys_etalloni,1,1,Plesiochelys_etalloni,16,endosseous,fossil,Stem,Angolachelonia,Plesiochelyidae,Angolachelonia,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,108,86,41.6,5.587,NA,NA,none,incomplete
140,Plesiochelys_planiceps_OUMNHJ1582_left,Plesiochelys_planiceps,1,1,Plesiochelys_planiceps,18,endosseous,fossil,Stem,Angolachelonia,Plesiochelyidae,Angolachelonia,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,87,72.7,36.4,5.3622,NA,NA,none,incomplete
141,Podocnemis_erythrocephala_SMNS6063_left_endosseous,Podocnemis_erythrocephala,2,1,Podocnemis_erythrocephala,137,endosseous,extant,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,12,9.5,6.7,2.883,32.54,short,sideways,full
142,Podocnemis_erythrocephala_SMNS6063_left_membranous,Podocnemis_erythrocephala,0,0,NA,137,membranous,extant,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,12,9.5,6.7,2.883,32.54,short,sideways,full
143,Podocnemis_expansa_LIRP_unnumbered_left,Podocnemis_expansa,1,1,Podocnemis_expansa,135,endosseous,extant,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,111.05,96.24,42.02,5.6523,NA,NA,sideways,full
144,Podocnemis_unifilis_FMNH45657_left,Podocnemis_unifilis,2,2,NA,136,endosseous,extant,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,32.83,23.83,12.01,3.9729,26.99,short,sideways,full
145,Podocnemis_unifilis_NHMUK60.4.16.9_left,Podocnemis_unifilis,0,0,Podocnemis_unifilis,136,endosseous,extant,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,77.04,56.91,23.32,5.0096,NA,NA,sideways,full
146,Portlandemys_mcdowelli_NHMUK2914_right,Portlandemys_mcdowelli,1,1,Portlandemys_mcdowelli,19,endosseous,fossil,Stem,Angolachelonia,Plesiochelyidae,Angolachelonia,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,92.5,70,37,5.3794,NA,NA,none,incomplete
147,Proganochelys_quenstedtii_MB1910.45.2_left,Proganochelys_quenstedii,1,1,Proganochelys_quenstedii,1,endosseous,fossil,Stem,NA,NA,early-diverging,terrestrial,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,133,111,59,5.94,37.11,intermediate,none,incomplete
148,Psammobates_tentorius_veroxii_IW1149_left,Psammobates_tentorius,1,1,Psammobates_tentorius,46,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,24.01,17.39,8.68,3.5592,NA,NA,vertical,full
149,Pseudemys_concinna_hieroglyphica_FMNH22146_left,Pseudemys_concinna,1,1,Pseudemys_concinna,69,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,45.38,36.15,17.03,4.4462,NA,NA,vertical,full
150,Pseudemys_floridiana_FMNH8222_left,Pseudemys_floridiana,1,1,Pseudemys_floridiana,68,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,33.07,25.6,14.02,4.0744,NA,NA,vertical,full
151,Puppigerus_camperi_IRSNBR0074_left,Puppigerus_camperi,2,2,Puppigerus_camperi,77,endosseous,fossil,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,84.3,61.6,36,5.2717,31.79,short,vertical,incomplete
152,Puppigerus_camperi_IRSNBR0076_left,Puppigerus_camperi,0,0,NA,77,endosseous,fossil,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,54.7,42.7,22.6,4.7225,31.79,short,vertical,incomplete
153,Rhinochelys_pulchriceps_CAMSMB55775_left,Rhinochelys_pulchriceps,2,2,NA,70,endosseous,fossil,Cryptodira,Chelonioidea,Protostegidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,59.6,35.8,24.1,4.7111,NA,NA,vertical,incomplete
154,Rhinochelys_pulchriceps_CAMSMB55783_right,Rhinochelys_pulchriceps,0,0,Rhinochelys_pulchriceps,70,endosseous,fossil,Cryptodira,Chelonioidea,Protostegidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,33.45,22.1,14.5,4.0302,NA,NA,vertical,incomplete
155,Rhinoclemmys_melanosterna_FMNH44446_left,Rhinoclemmys_melanosterna,1,1,Rhinoclemmys_melanosterna,22,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Rhinoclemmydinae,Geoemydidae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,28.5,19.51,9.53,3.7242,NA,NA,vertical,full
156,Rhinoclemmys_pulcherrima_PCHP_unnumbered_left,Rhinoclemmys_pulcherrima,1,1,Rhinoclemmys_pulcherrima,21,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Rhinoclemmydinae,Geoemydidae,terrestrial,terrestrial_walking,terrestrial,NA,small - 1,1,1,0,0,0,0,30.81,23.13,9.67,3.8383,NA,NA,vertical,full
157,Sacalia_quadriocellata_NCSM13265_right,Sacalia_quadriocellata,1,1,Sacalia_quadriocellata,30,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,28.73,18.75,9.77,3.7212,54.75,long,vertical,full
158,Sahonachelys_mailakavava_MAD15359_right,Sahonachelys_mailakavava,1,1,Sahonachelys_mailakavava,122,endosseous,fossil,Pleurodira,stem-Pelomedusoides,NA,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,46.7,50.2,15,4.5461,53,long,sideways,full
159,Sandownia_harrisi_MIWG3480_left,Sandownia_harrisi,1,1,Sandownia_harrisi,14,endosseous,fossil,Stem,Angolachelonia,Sandownidae,Angolachelonia,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,60.8,61.4,26,4.987,NA,NA,none,incomplete
160,Shweboemys_pilgrimi_NHMUK8432_left,Shweboemys_pilgrimi,1,1,Shweboemys_pilgrimi,140,endosseous,fossil,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sideways,full
161,Siebenrockiella_crassicollis_NHMUK1894.9.2.47_left,Siebenrockiella_crassicollis,1,1,Siebenrockiella_crassicollis,37,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,27.74,22.96,11.97,3.8822,NA,NA,vertical,full
162,Solnhofia_parsonsi_TM4023_right,Solnhofia_parsonsi,1,1,Solnhofia_parsonsi,15,endosseous,fossil,Stem,Angolachelonia,Sandownidae,Angolachelonia,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,72.1,65,24,5.0511,33.33,short,none,incomplete
163,Staurotypus_salvinii_NHMUK1879.1.7.5_left,Staurotypus_salvinii,1,1,Staurotypus_salvinii,89,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Staurotypinae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,51.93,44,20.47,4.67,NA,NA,vertical,full
164,Stereogenys_cromeri_NHMUK3189_right,Stereogenys_cromeri,2,2,NA,141,endosseous,fossil,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,87.1,81.6,37.4,5.4246,NA,NA,sideways,full
165,Stereogenys_cromeri_NHMUK3190_left,Stereogenys_cromeri,0,0,Stereogenys_cromeri,141,endosseous,fossil,Pleurodira,Pelomedusoides,Podocnemididae,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,85.14,99.57,37.23,5.4992,NA,NA,sideways,full
166,Sternotherus_minor_FMNH211696_left,Sternotherus_minor,1,1,Sternotherus_minor,91,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,32.05,26.28,14.89,4.0983,NA,long,vertical,full
167,Sternotherus_odoratus_OUMNH2017070002_left,Sternotherus_odoratus,1,1,Sternotherus_odoratus,92,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,24.5,19.62,9.5,3.6596,65.49,long,vertical,full
168,Stylemys_nebrascensis_FMNHUR559_left,Stylemys_nebrascensis,1,1,Stylemys_nebrascensis,49,endosseous,fossil,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,NA ,NA ,no,NA,NA,NA,NA,NA,NA,NA,37,28,13,4.1293,NA,NA,vertical,full
169,Taphrosphys_ippolitoi_AMNH30500_right,Taphrosphys_ippolitoi,1,1,Taphrosphys_ippolitoi,129,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Taphrospini,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,90.6,81,32.3,5.3748,NA,NA,sideways,full
170,Terrapene_carolina_OUMNH8795_left,Terrapene_carolina,3,2,Terrapene_carolina,60,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,terrestrial,terrestrial_walking,terrestrial,NA,small - 1,1,1,0,0,0,0,28.32,18.21,10.53,3.7348,52.86,long,vertical,full
171,Terrapene_carolina_SMNS7434_left_endosseous,Terrapene_carolina,0,0,NA,60,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,terrestrial,terrestrial_walking,terrestrial,NA,small - 1,1,1,0,0,0,0,15.5,10.3,6.9,3.042,52.86,long,vertical,full
172,Terrapene_carolina_SMNS7434_left_membranous,Terrapene_carolina,0,0,NA,60,membranous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,terrestrial,terrestrial_walking,terrestrial,NA,small - 1,1,1,0,0,0,0,15.5,10.3,6.9,3.042,52.86,long,vertical,full
173,Terrapene_coahuila_FMNH47372_left,Terrapene_coahuila,1,1,Terrapene_coahuila,59,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,29.52,19.23,11.54,3.8163,NA,NA,vertical,full
174,Terrapene_ornata_FMNH23014_left,Terrapene_ornata,1,1,Terrapene_ornata,58,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,27.57,17.95,11,3.7359,NA,NA,vertical,full
175,Testudo_horsfieldii_OUMNH10344_left,Testudo_horsfieldii,2,2,Testudo_horsfieldii,43,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,digging,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,32.11,23.19,11.09,3.9169,45.63,intermediate,vertical,full
176,Testudo_horsfieldii_PCHP_unnumbered_right,Testudo_horsfieldii,0,0,NA,43,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,digging,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,30.65,21.95,10,3.8279,45.63,intermediate,vertical,full
177,Testudo_marginata_FMNH51672_left,Testudo_marginata,1,1,Testudo_marginata,42,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,39.4,26.63,13.41,4.1483,42.48,intermediate,vertical,full
178,Trachemys_scripta_unnumbered_left_endosseous,Trachemys_scripta,2,1,Trachemys_scripta,63,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,NA,NA,NA,NA,NA,NA,vertical,full
179,Trachemys_scripta_unnumbered_left_membranous,Trachemys_scripta,0,0,NA,63,membranous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,NA,NA,NA,NA,NA,NA,vertical,full
180,Trionyx_triunguis_PCHP4559_left,Trionyx_triunguis,1,1,Trionyx_triunguis,102,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Trionychinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,84.99,51.87,21.45,4.9757,104.88,extreme,vertical,full
181,Uluops_uluops_UCMP5371_right,Uluops_uluops,1,1,Uluops_uluops,6,endosseous,fossil,Stem,Paracryptodira,Pleurosternidae,Perichelydia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,45.8,41.8,23.4,4.6513,NA,NA,none,incomplete
182,Ummulisani_rutgersensis_AMNH30569_left,Ummulisani_rutgersensis,1,1,Ummulisani_rutgersensis,131,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Taphrospini,Pelomedusoides,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,192.7,148.7,57.3,6.2153,NA,NA,sideways,incomplete
183,Xinjiangchelys_radiplicatoides_IVPPV9539_left,Xinjiangchelys_radiplicatoides,1,1,Xinjiangchelys_radiplicatoides,12,endosseous,fossil,Stem,Xinjiangchelyidae,NA,Xinjiangchelyidae,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,60,45,19,4.7101,NA,NA,none,incomplete
