Count,Specimen_name,Species_ID,Replicates_total,Replicates_endosseous,Tree_names,Tree_node_number,Ear_type,Specimen_type,Suborder,Family,Subfamily,Plotting_group,Plotting_habitat,Habitual_habitat,Habitat_general,Fossil_marine,Forelimb,Forelimb1,Forelimb2,Forelimb3,Forelimb4,Forelimb5,Forelimb6,Skull_length_mm,Skull_width_mm,Skull_height_mm,logV_mm3,Carapax_neck_ratio,Neck_length_categorical,Retraction_type,Retratction_ability
48,Cuora_mouhotii_SMF71599_left,Cuora_mouhotii,1,1,Cuora_mouhotii,26,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,terrestrial,terrestrial_walking,terrestrial,NA,small - 1,1,1,0,0,0,0,35.71,25.96,13.39,4.0939,NA,NA,vertical,full
49,Cyclanorbis_senegalensis_NHMUK65.5.9.21_right,Cyclanorbis_senegalensis,1,1,Cyclanorbis_senegalensis,110,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Cyclanorbinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,70.12,46.43,17.81,4.7633,NA,extreme,sideways,full
50,Cyclemys_dentata_NHMUK97.11.22.3_left,Cyclemys_dentata,1,1,Cyclemys_dentata,27,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geoemydinae,Geoemydidae,terrestrial,terrestrial_walking,terrestrial,NA,small - 1,1,1,0,0,0,0,33.11,23.99,11.35,3.955,NA,NA,vertical,full
51,Cycloderma_frenatum_NHMUK84.2.4.1_left,Cycloderma_frenatum,1,1,Cycloderma_frenatum,109,endosseous,extant,Cryptodira,Trionychia,Trionychidae:Cyclanorbinae,Trionychia,freshwater,bottom_dwelling,freshwater,NA,extensive - 3,3,3,2,2,1,1,140.03,87.29,36.18,5.6457,93.95,extreme,vertical,full
52,Deirochelys_reticularia_FMNH98754_left,Deirochelys_reticularia,1,1,Deirochelys_reticularia,62,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Deirochelyinae,Emysternia,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,41.08,24.33,10.8,4.0332,76.94,extreme,vertical,full
53,Dermatemys_mawii_SMF59463_left,Dermatemys_mawii,1,1,Dermatemys_mawii,88,endosseous,extant,Cryptodira,Kinosternoidea,Dermatemydidae,Kinosternoidea,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,94.91,71.61,32.35,5.3422,45.78,intermediate,vertical,full
54,Dermochelys_coriacea_FMNH171756_left,Dermochelys_coriacea,5,4,NA,74,endosseous,extant,Cryptodira,Chelonioidea,Dermochelyidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,230,246,137.2,6.89,NA,short,vertical,incomplete
55,Dermochelys_coriacea_IW1476_endosseous_left,Dermochelys_coriacea,0,0,NA,74,endosseous,extant,Cryptodira,Chelonioidea,Dermochelyidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,20,18.2,9.8,3.5523,NA,short,vertical,incomplete
56,Dermochelys_coriacea_IW1476_membranous_left,Dermochelys_coriacea,0,0,NA,74,membranous,extant,Cryptodira,Chelonioidea,Dermochelyidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,20,18.2,9.8,3.5523,NA,short,vertical,incomplete
57,Dermochelys_coriacea_SMF62797_left,Dermochelys_coriacea,0,0,NA,74,endosseous,extant,Cryptodira,Chelonioidea,Dermochelyidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,215.09,221.13,108.37,6.7122,NA,short,vertical,incomplete
58,Dermochelys_coriacea_UMZCR3031_left,Dermochelys_coriacea,0,0,Dermochelys_coriacea,74,endosseous,extant,Cryptodira,Chelonioidea,Dermochelyidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,222.78,212.92,112.25,6.7263,NA,short,vertical,incomplete
59,Desmatochelys_lowii_KUVP1200_right,Desmatochelys_lowii,1,1,Desmatochelys_lowii,71,endosseous,fossil,Cryptodira,Chelonioidea,Protostegidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,175,136.7,80.4,6.2841,NA,NA,vertical,incomplete
60,Dirqadim_schaefferi_AMNH30038_right,Dirqadim_schaefferi,1,1,Dirqadim_schaefferi,143,endosseous,fossil,Pleurodira,stem-Pelomedusoides,NA,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,31,26.6,11.4,3.9731,NA,NA,sideways,full
61,Eileanchelys_waldmanni_NMS.G.2004.31.15_right,Eileanchelys_waldmanni,1,1,Eileanchelys_waldmanni,4,endosseous,fossil,Stem,NA,NA,Perichelydia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,39,34,12,4.2017,NA,NA,none,incomplete
62,Elseya_dentata_NHMUK76.5.19.77_left,Elseya_dentata,1,1,Elseya_dentata,119,endosseous,extant,Pleurodira,Chelidae,Chelodininae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,42.3,34.8,17.78,4.4179,26.6,short,sideways,full
63,Emydoidea_blandingii_FMNH22144_left,Emydoidea_blandingii,1,1,Emydoidea_blandingii,57,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,40.25,26.25,10.15,4.0304,62.79,long,vertical,full
64,Emydura_subglobosa_IW92_left_endosseous,Emydura_subglobosa,3,2,NA,118,endosseous,extant,Pleurodira,Chelidae,Chelodininae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,14.21,11.4,6.3,3.0088,36.31,intermediate,sideways,full
65,Emydura_subglobosa_IW92_left_membranous,Emydura_subglobosa,0,0,NA,118,membranous,extant,Pleurodira,Chelidae,Chelodininae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,14.21,11.4,6.3,3.0088,36.31,intermediate,sideways,full
66,Emydura_subglobosa_PIMUZ_2009.37_left,Emydura_subglobosa,0,0,Emydura_subglobosa,118,endosseous,extant,Pleurodira,Chelidae,Chelodininae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 2,2,2,1,1,1,0,15.93,12.33,6.19,3.0849,36.31,intermediate,sideways,full
67,Emys_orbicularis_SMF1987_left,Emys_orbicularis,3,2,Emys_orbicularis,56,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,28.45,19.94,8.62,3.6893,58.29,long,vertical,full
68,Emys_orbicularis_SMNS11390_left_endosseous,Emys_orbicularis,0,0,NA,56,endosseous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,13.6,10.4,6.2,2.943,58.29,long,vertical,full
69,Emys_orbicularis_SMNS11390_left_membranous,Emys_orbicularis,0,0,NA,56,membranous,extant,Cryptodira,Testudinoidea,Emydidae:Emydinae,Emysternia,freshwater,bottom_dwelling,freshwater,NA,small - 1,1,1,0,0,0,0,13.6,10.4,6.2,2.943,58.29,long,vertical,full
70,Eochelone_brabantica_IRSNBR0061_left,Eochelone_brabantica,1,1,Eochelone_brabantica,78,endosseous,fossil,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,107.4,89.7,40,5.5859,NA,short,vertical,incomplete
71,Eretmochelys_imbricata_FMNH22242_left,Eretmochelys_imbricata,2,2,Eretmochelys_imbricata,82,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,98.54,66.51,37.5,5.3905,NA,short,vertical,incomplete
72,Eretmochelys_imbricata_NMBC2417_left,Eretmochelys_imbricata,0,0,NA,82,endosseous,extant,Cryptodira,Chelonioidea,Cheloniidae,Chelonioidea,marine,open_water_swimming,marine,NA,flipper - 4,4,3,3,2,1,1,96.6,67.28,40.3,5.4182,NA,short,vertical,incomplete
73,Eubaena_cephalica_DMNH96004_left,Eubaena_cephalica,1,1,Eubaena_cephalica,7,endosseous,fossil,Stem,Paracryptodira,Baenidae,Perichelydia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,65,62.7,27.2,5.0447,NA,NA,none,incomplete
74,Galianemys_emringeri_AMNH30035_left,Galianemys_emringeri,1,1,Galianemys_emringeri,123,endosseous,fossil,Pleurodira,Pelomedusoides,Bothremydidae:Cearachelyini,Pelomedusoides,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,53.1,57.6,22.6,4.8396,NA,NA,sideways,full
